iter	Passed	Remaining
0	147	147499
1	148	74020
2	148	49495
3	149	37234
4	150	29914
5	151	25017
6	151	21506
7	152	18877
8	152	16831
9	153	15189
10	154	13846
11	154	12726
12	155	11786
13	155	10979
14	156	10275
15	157	9657
16	157	9113
17	158	8630
18	158	8197
19	159	7806
20	159	7453
21	160	7133
22	161	6839
23	161	6570
24	162	6322
25	162	6093
26	163	5882
27	163	5685
28	164	5502
29	164	5332
30	165	5173
31	166	5023
32	166	4883
33	167	4750
34	167	4624
35	168	4506
36	168	4394
37	169	4288
38	170	4193
39	170	4098
40	171	4007
41	171	3922
42	172	3839
43	173	3761
44	173	3685
45	174	3613
46	174	3544
47	175	3478
48	175	3414
49	176	3353
50	177	3296
51	177	3240
52	178	3185
53	178	3132
54	179	3081
55	179	3032
56	180	2985
57	181	2939
58	181	2895
59	182	2852
60	182	2811
61	183	2771
62	183	2732
63	184	2699
64	185	2663
65	185	2629
66	186	2596
67	187	2563
68	187	2531
69	188	2500
70	188	2471
71	189	2441
72	190	2413
73	190	2386
74	191	2359
75	191	2333
76	192	2307
77	193	2281
78	193	2257
79	194	2232
80	194	2209
81	195	2186
82	195	2161
83	196	2139
84	196	2118
85	197	2097
86	197	2077
87	198	2059
88	199	2040
89	199	2021
90	200	2003
91	201	1984
92	201	1966
93	202	1949
94	202	1931
95	203	1914
96	203	1897
97	204	1882
98	205	1866
99	205	1850
100	206	1835
101	206	1820
102	207	1805
103	207	1790
104	208	1776
105	208	1762
106	209	1748
107	210	1735
108	210	1722
109	211	1708
110	211	1695
111	212	1683
112	213	1672
113	213	1660
114	214	1648
115	214	1637
116	215	1625
117	216	1615
118	216	1604
119	217	1593
120	217	1582
121	218	1571
122	218	1560
123	219	1550
124	219	1539
125	220	1529
126	221	1519
127	221	1509
128	222	1499
129	222	1491
130	223	1481
131	223	1472
132	224	1463
133	225	1454
134	225	1445
135	226	1436
136	226	1428
137	227	1421
138	228	1413
139	228	1405
140	229	1397
141	229	1388
142	230	1380
143	230	1372
144	231	1364
145	232	1357
146	232	1350
147	233	1342
148	233	1335
149	234	1328
150	234	1321
151	235	1314
152	236	1307
153	236	1300
154	237	1293
155	237	1286
156	238	1280
157	238	1273
158	239	1267
159	240	1260
160	240	1253
161	241	1247
162	241	1242
163	242	1236
164	243	1231
165	243	1225
166	244	1220
167	245	1215
168	246	1209
169	246	1204
170	247	1199
171	247	1193
172	248	1187
173	249	1182
174	249	1176
175	250	1171
176	250	1165
177	251	1160
178	251	1154
179	252	1149
180	253	1145
181	253	1140
182	254	1135
183	254	1130
184	255	1125
185	256	1121
186	256	1116
187	257	1112
188	258	1108
189	259	1104
190	259	1100
191	260	1095
192	260	1090
193	261	1086
194	262	1082
195	262	1078
196	263	1073
197	263	1069
198	264	1064
199	265	1060
200	265	1056
201	266	1051
202	266	1047
203	267	1043
204	267	1039
205	268	1034
206	269	1030
207	269	1026
208	270	1023
209	271	1020
210	271	1016
211	272	1013
212	273	1009
213	273	1006
214	274	1002
215	275	999
216	275	995
217	276	991
218	277	988
219	277	985
220	278	982
221	279	978
222	279	975
223	280	971
224	280	967
225	281	964
226	282	960
227	282	957
228	283	953
229	283	949
230	284	946
231	285	944
232	285	941
233	286	938
234	287	935
235	287	931
236	288	928
237	289	925
238	289	922
239	290	919
240	290	916
241	291	913
242	292	910
243	292	907
244	293	904
245	293	900
246	294	897
247	295	894
248	295	891
249	296	888
250	296	885
251	297	882
252	297	879
253	298	876
254	299	873
255	299	871
256	300	868
257	301	866
258	301	863
259	302	860
260	303	858
261	303	855
262	304	853
263	305	850
264	305	848
265	306	845
266	307	843
267	307	840
268	308	837
269	308	835
270	309	832
271	310	830
272	310	827
273	311	824
274	311	821
275	312	819
276	312	816
277	313	814
278	314	812
279	315	810
280	315	807
281	316	805
282	316	802
283	317	800
284	318	798
285	318	795
286	319	794
287	320	791
288	320	789
289	321	786
290	321	784
291	322	782
292	323	779
293	324	779
294	325	777
295	326	775
296	326	773
297	327	771
298	328	769
299	328	767
300	329	765
301	330	762
302	330	760
303	331	758
304	332	756
305	332	754
306	333	752
307	334	751
308	335	749
309	335	747
310	336	745
311	336	742
312	337	740
313	338	738
314	338	736
315	339	735
316	340	733
317	341	732
318	342	730
319	342	728
320	343	726
321	344	724
322	344	722
323	345	720
324	346	718
325	346	716
326	347	714
327	347	712
328	348	710
329	349	708
330	349	706
331	350	705
332	351	704
333	352	703
334	353	701
335	353	699
336	354	697
337	355	695
338	355	694
339	356	692
340	357	691
341	358	689
342	359	688
343	359	686
344	360	684
345	361	682
346	361	681
347	362	679
348	363	677
349	363	675
350	364	673
351	364	671
352	365	670
353	366	668
354	366	666
355	367	664
356	368	662
357	368	661
358	369	659
359	369	657
360	370	656
361	371	654
362	372	653
363	372	651
364	373	649
365	374	648
366	374	646
367	375	644
368	376	643
369	376	641
370	377	639
371	378	638
372	378	636
373	379	634
374	379	633
375	380	631
376	381	629
377	381	627
378	382	626
379	382	624
380	383	622
381	383	621
382	384	619
383	385	617
384	385	616
385	386	615
386	387	613
387	387	611
388	388	610
389	389	608
390	389	607
391	390	605
392	390	603
393	391	602
394	392	600
395	392	599
396	393	597
397	394	595
398	394	594
399	395	592
400	395	591
401	396	589
402	396	587
403	397	586
404	398	584
405	398	583
406	399	581
407	399	579
408	400	578
409	400	577
410	401	575
411	402	574
412	403	572
413	403	571
414	404	569
415	404	568
416	405	567
417	406	565
418	407	564
419	407	562
420	408	561
421	408	560
422	409	558
423	410	556
424	410	555
425	411	553
426	411	552
427	412	550
428	412	549
429	413	547
430	413	546
431	414	545
432	415	543
433	415	542
434	416	541
435	417	539
436	417	538
437	418	536
438	419	535
439	419	534
440	420	532
441	421	531
442	421	530
443	422	528
444	422	527
445	423	525
446	424	524
447	424	523
448	425	521
449	425	520
450	426	518
451	426	517
452	427	516
453	427	514
454	428	513
455	429	512
456	430	510
457	430	509
458	431	508
459	431	507
460	432	505
461	433	504
462	433	503
463	434	501
464	435	500
465	435	499
466	436	498
467	437	496
468	437	495
469	438	494
470	438	492
471	439	491
472	440	490
473	440	488
474	441	487
475	441	486
476	442	484
477	442	483
478	443	482
479	444	481
480	444	480
481	445	478
482	446	477
483	446	476
484	447	475
485	448	473
486	448	472
487	449	471
488	449	470
489	450	468
490	451	467
491	451	466
492	452	465
493	452	463
494	453	462
495	453	461
496	454	459
497	455	458
498	455	457
499	456	456
500	456	454
501	457	454
502	458	452
503	459	451
504	459	450
505	460	449
506	460	448
507	461	446
508	462	445
509	462	444
510	463	443
511	463	442
512	464	440
513	464	439
514	465	438
515	466	437
516	466	435
517	467	434
518	467	433
519	468	432
520	468	431
521	469	429
522	470	428
523	470	427
524	471	426
525	471	425
526	472	424
527	473	423
528	473	421
529	474	420
530	475	419
531	475	418
532	476	417
533	476	416
534	477	415
535	478	414
536	478	412
537	479	411
538	480	410
539	480	409
540	481	408
541	481	407
542	482	405
543	482	404
544	483	403
545	484	402
546	484	401
547	485	400
548	485	399
549	486	398
550	487	397
551	488	396
552	488	395
553	489	393
554	490	392
555	490	391
556	491	390
557	491	389
558	492	388
559	492	387
560	493	386
561	494	385
562	494	383
563	495	382
564	496	381
565	496	380
566	497	379
567	497	378
568	498	377
569	498	376
570	499	375
571	499	374
572	500	373
573	502	372
574	503	372
575	504	371
576	504	370
577	505	369
578	506	368
579	507	367
580	507	366
581	508	365
582	509	364
583	509	363
584	510	362
585	510	360
586	511	359
587	512	358
588	512	357
589	513	356
590	513	355
591	514	354
592	515	353
593	516	352
594	517	351
595	518	351
596	518	350
597	519	349
598	520	348
599	520	347
600	521	346
601	521	345
602	522	344
603	523	342
604	523	341
605	524	340
606	524	339
607	525	338
608	525	337
609	526	336
610	526	335
611	527	334
612	528	333
613	528	332
614	529	331
615	530	330
616	531	329
617	531	328
618	532	327
619	533	326
620	533	325
621	534	324
622	534	323
623	535	322
624	536	321
625	536	320
626	537	319
627	538	318
628	538	317
629	539	316
630	539	315
631	540	314
632	540	313
633	541	312
634	541	311
635	542	310
636	543	309
637	543	308
638	544	307
639	545	306
640	545	305
641	546	304
642	547	303
643	547	302
644	548	301
645	548	300
646	549	299
647	550	298
648	550	297
649	551	296
650	551	295
651	552	294
652	552	293
653	553	292
654	554	291
655	554	290
656	555	289
657	555	288
658	556	287
659	556	286
660	557	285
661	558	284
662	558	284
663	559	283
664	560	282
665	560	281
666	561	280
667	561	279
668	562	278
669	562	277
670	563	276
671	564	275
672	564	274
673	565	273
674	565	272
675	566	271
676	566	270
677	567	269
678	567	268
679	568	267
680	568	266
681	569	265
682	570	264
683	570	263
684	571	262
685	571	261
686	572	260
687	573	259
688	573	258
689	574	258
690	575	257
691	575	256
692	576	255
693	577	254
694	577	253
695	578	252
696	579	251
697	579	250
698	580	249
699	580	248
700	581	247
701	581	247
702	582	246
703	583	245
704	583	244
705	584	243
706	584	242
707	585	241
708	585	240
709	586	239
710	587	238
711	588	237
712	588	236
713	589	236
714	590	235
715	590	234
716	591	233
717	591	232
718	592	231
719	592	230
720	593	229
721	594	228
722	594	227
723	595	226
724	595	225
725	596	225
726	596	224
727	597	223
728	598	222
729	598	221
730	599	220
731	599	219
732	600	218
733	601	217
734	601	216
735	602	216
736	602	215
737	603	214
738	604	213
739	604	212
740	605	211
741	605	210
742	606	209
743	606	208
744	607	207
745	608	207
746	608	206
747	609	205
748	609	204
749	610	203
750	611	202
751	611	201
752	612	200
753	612	199
754	613	199
755	613	198
756	614	197
757	615	196
758	615	195
759	616	194
760	617	193
761	617	192
762	618	192
763	619	191
764	619	190
765	620	189
766	620	188
767	621	187
768	621	186
769	622	185
770	622	185
771	623	184
772	624	183
773	624	182
774	625	181
775	625	180
776	626	179
777	626	178
778	627	177
779	627	177
780	628	176
781	628	175
782	629	174
783	630	173
784	631	172
785	631	172
786	632	171
787	632	170
788	633	169
789	634	168
790	634	167
791	635	166
792	635	165
793	636	165
794	636	164
795	637	163
796	637	162
797	638	161
798	639	160
799	639	159
800	640	159
801	640	158
802	641	157
803	641	156
804	642	155
805	642	154
806	643	153
807	643	153
808	644	152
809	645	151
810	645	150
811	646	149
812	647	148
813	647	148
814	648	147
815	648	146
816	649	145
817	649	144
818	650	143
819	651	142
820	651	142
821	652	141
822	652	140
823	653	139
824	654	138
825	654	137
826	655	137
827	655	136
828	656	135
829	657	134
830	657	133
831	658	132
832	658	132
833	659	131
834	660	130
835	660	129
836	661	128
837	662	127
838	662	127
839	663	126
840	663	125
841	664	124
842	665	123
843	665	123
844	666	122
845	666	121
846	667	120
847	667	119
848	668	118
849	669	118
850	669	117
851	670	116
852	670	115
853	671	114
854	671	113
855	672	113
856	673	112
857	674	111
858	674	110
859	675	109
860	675	109
861	676	108
862	677	107
863	677	106
864	678	105
865	678	105
866	679	104
867	680	103
868	680	102
869	681	101
870	681	100
871	682	100
872	682	99
873	683	98
874	684	97
875	684	96
876	685	96
877	685	95
878	686	94
879	686	93
880	688	92
881	689	92
882	690	91
883	690	90
884	691	89
885	691	89
886	692	88
887	693	87
888	693	86
889	694	85
890	694	85
891	695	84
892	696	83
893	696	82
894	697	81
895	697	80
896	698	80
897	698	79
898	699	78
899	700	77
900	700	76
901	701	76
902	702	75
903	702	74
904	703	73
905	704	73
906	705	72
907	705	71
908	706	70
909	707	69
910	708	69
911	709	68
912	709	67
913	710	66
914	710	66
915	711	65
916	712	64
917	712	63
918	713	62
919	713	62
920	714	61
921	714	60
922	715	59
923	716	58
924	717	58
925	718	57
926	719	56
927	719	55
928	720	55
929	720	54
930	721	53
931	721	52
932	722	51
933	723	51
934	723	50
935	724	49
936	724	48
937	725	47
938	725	47
939	726	46
940	726	45
941	727	44
942	727	44
943	728	43
944	729	42
945	730	41
946	730	40
947	731	40
948	732	39
949	732	38
950	733	37
951	734	37
952	734	36
953	735	35
954	735	34
955	736	33
956	737	33
957	737	32
958	738	31
959	738	30
960	739	30
961	739	29
962	740	28
963	740	27
964	741	26
965	742	26
966	743	25
967	743	24
968	744	23
969	744	23
970	745	22
971	746	21
972	747	20
973	747	19
974	748	19
975	749	18
976	749	17
977	750	16
978	750	16
979	751	15
980	751	14
981	752	13
982	752	13
983	753	12
984	754	11
985	754	10
986	755	9
987	755	9
988	756	8
989	756	7
990	757	6
991	757	6
992	758	5
993	759	4
994	759	3
995	760	3
996	761	2
997	761	1
998	762	0
999	762	0
